AR	2014	4	253.78
AR	2015	1	253.72
AR	2015	2	255.01
AR	2015	3	259.05
AR	2015	4	261.47
AR	2016	1	259.97
AR	2016	2	263.44
AZ	1975	1	58.69
AZ	1975	2	61.46
AZ	1975	3	58.82
AZ	1975	4	55.37
AZ	1976	1	58.23
AZ	1976	2	63.04
AZ	1976	3	61.14
AZ	1976	4	60.85
AZ	1977	1	63.12
AZ	1977	2	63.51
AZ	1977	3	66.37
AZ	1977	4	69.71
AZ	1978	1	71.29
AZ	1978	2	74.08
AZ	1978	3	79.28
AZ	1978	4	83.14
AZ	1979	1	88.2
AZ	1979	2	92.68
AZ	1979	3	95.26
AZ	1979	4	99.59
AZ	1980	1	100
AZ	1980	2	99.17
AZ	1980	3	107.29
AZ	1980	4	108.05
AZ	1981	1	108.4
AZ	1981	2	111.95
AZ	1981	3	117.73
AZ	1981	4	110.7
AZ	1982	1	106.8
AZ	1982	2	112.45
AZ	1982	3	109.07
AZ	1982	4	110.88
AZ	1983	1	119.91
AZ	1983	2	120.07
AZ	1983	3	115.8
AZ	1983	4	114.32
AZ	1984	1	117.88
AZ	1984	2	122.67
AZ	1984	3	123.51
AZ	1984	4	122.57
AZ	1985	1	125.69
AZ	1985	2	126.02
AZ	1985	3	128
AZ	1985	4	129.39
AZ	1986	1	131.9
AZ	1986	2	135.9
AZ	1986	3	135.88
AZ	1986	4	134.3
AZ	1987	1	138.31
AZ	1987	2	137.14
AZ	1987	3	136.42
AZ	1987	4	133.85
AZ	1988	1	135.29
AZ	1988	2	136.64
AZ	1988	3	134.4
AZ	1988	4	135.06
AZ	1989	1	133.48
AZ	1989	2	133.18
AZ	1989	3	135.23
AZ	1989	4	134.32
AZ	1990	1	134.11
AZ	1990	2	133.38
AZ	1990	3	134.38
AZ	1990	4	133.15
AZ	1991	1	135.37
AZ	1991	2	136.39
AZ	1991	3	135.74
AZ	1991	4	139.72
AZ	1992	1	140.55
AZ	1992	2	140.19
AZ	1992	3	141.07
AZ	1992	4	141.87
AZ	1993	1	141.95
AZ	1993	2	143.63
AZ	1993	3	144.76
AZ	1993	4	146.69
AZ	1994	1	148.67
AZ	1994	2	150.76
AZ	1994	3	152.42
AZ	1994	4	154.32
AZ	1995	1	156.17
AZ	1995	2	158.92
AZ	1995	3	162
AZ	1995	4	163.84
AZ	1996	1	166.54
AZ	1996	2	166.81
AZ	1996	3	168.4
AZ	1996	4	170.07
AZ	1997	1	171.59
AZ	1997	2	172.78
AZ	1997	3	175.84
AZ	1997	4	178.46
AZ	1998	1	180.75
AZ	1998	2	182.51
AZ	1998	3	184.98
AZ	1998	4	187.3
AZ	1999	1	189.29
AZ	1999	2	191.72
AZ	1999	3	194.56
AZ	1999	4	196.43
AZ	2000	1	200.83
AZ	2000	2	203.19
AZ	2000	3	205.84
AZ	2000	4	209.04
AZ	2001	1	213.72
AZ	2001	2	217.01
AZ	2001	3	220.19
AZ	2001	4	222.35
AZ	2002	1	225.42
AZ	2002	2	228.35
AZ	2002	3	232.29
AZ	2002	4	234.95
AZ	2003	1	237.77
AZ	2003	2	240.25
AZ	2003	3	243.92
AZ	2003	4	252.18
AZ	2004	1	256.51
AZ	2004	2	265.57
AZ	2004	3	281.42
AZ	2004	4	292.9
AZ	2005	1	310.64
AZ	2005	2	342.86
AZ	2005	3	371.51
AZ	2005	4	397.09
AZ	2006	1	412.07
AZ	2006	2	420.68
AZ	2006	3	424.57
AZ	2006	4	427.78
AZ	2007	1	426.01
AZ	2007	2	422.13
AZ	2007	3	412.56
AZ	2007	4	405.64
AZ	2008	1	391.94
AZ	2008	2	369.21
AZ	2008	3	342.56
AZ	2008	4	329.96
AZ	2009	1	329.12
AZ	2009	2	305.25
AZ	2009	3	289.3
AZ	2009	4	280.57
AZ	2010	1	273.07
AZ	2010	2	263.45
AZ	2010	3	263.11
AZ	2010	4	256
AZ	2011	1	242.31
AZ	2011	2	230.81
AZ	2011	3	232.76
AZ	2011	4	237.48
AZ	2012	1	236.23
AZ	2012	2	239.67
AZ	2012	3	249.17
AZ	2012	4	257.02
AZ	2013	1	263.31
AZ	2013	2	275.37
AZ	2013	3	285.21
AZ	2013	4	293.18
AZ	2014	1	299.36
AZ	2014	2	304.34
AZ	2014	3	307.47
AZ	2014	4	312.68
AZ	2015	1	314.44
AZ	2015	2	322.5
AZ	2015	3	330.92
AZ	2015	4	336.25
AZ	2016	1	338.81
AZ	2016	2	347.13
CA	1975	1	41.62
CA	1975	2	42.76
CA	1975	3	44.26
CA	1975	4	45.86
CA	1976	1	47.75
CA	1976	2	50.24
CA	1976	3	53.53
CA	1976	4	55.51
CA	1977	1	58
CA	1977	2	62.97
CA	1977	3	67.92
